RequestID,Endpoint,Method,Latency_ms,time_request_to_Server,Time_response_from_server,Response_Code,Request_Count,Timestamp
169,/user/profile,PUT,1818,35:38.4,35:40.2,200,10,35:38.4
170,/api/v1/products,DELETE,467,47:09.4,47:09.8,404,35,47:09.4
171,/auth/login,DELETE,4900,02:18.4,02:23.3,200,462,02:18.4
172,/search/advanced,PUT,1558,28:37.4,28:38.9,200,657,28:37.4
173,/search/quick,PUT,332,30:04.4,30:04.7,400,15,30:04.4
174,/search/advanced,PATCH,357,31:08.4,31:08.7,400,20,31:08.4
175,/auth/login,GET,99,01:37.4,01:37.5,200,3362,01:37.4
176,/auth/logout,DELETE,2153,25:20.4,25:22.5,200,215,25:20.4
177,/auth/logout,PUT,109,26:31.4,26:31.5,200,66,26:31.4
178,/api/v1/products,POST,1662,26:41.4,26:43.0,500,37,26:41.4
179,/user/settings,DELETE,491,27:16.4,30:10.8,201,125,27:16.4
180,/user/settings,DELETE,229,37:36.4,37:36.6,200,2933,37:36.4
181,/user/settings,PATCH,3990,40:10.4,40:14.3,200,221,40:10.4
182,/auth/login,DELETE,178,49:00.4,49:00.5,201,539,49:00.4
183,/admin/logs,POST,522,54:29.4,54:29.9,503,171,54:29.4
184,/payments/verify,GET,6910,55:11.4,55:18.3,200,111,55:11.4
185,/user/profile,DELETE,200,02:07.4,02:07.6,200,454,02:07.4
186,/api/v1/customers,DELETE,4148,08:46.4,08:50.5,200,397,08:46.4
187,/data/fetch,PATCH,355,13:51.4,17:45.7,404,25,13:51.4
188,/auth/reset,DELETE,450,16:47.4,16:47.8,200,325,16:47.4
189,/data/sync,PATCH,394,17:58.4,17:58.7,200,11,17:58.4
190,/api/v1/products,PUT,415,19:09.4,19:09.8,401,110,19:09.4
191,/payments/verify,DELETE,294,21:16.4,21:16.6,400,226,21:16.4
192,/auth/login,GET,454,34:03.4,34:03.8,500,315,34:03.4
193,/user/profile,POST,793,36:30.4,36:31.1,500,636,36:30.4
194,/search/advanced,DELETE,225,42:27.4,42:27.6,200,139,42:27.4
195,/auth/login,PATCH,177,48:13.4,48:13.5,500,235,48:13.4
196,/auth/reset,PATCH,211,54:41.4,54:41.6,200,33,54:41.4
197,/search/quick,PUT,6752,59:53.4,03:40.1,200,98,59:53.4
198,/payments/verify,PATCH,214,15:31.4,15:31.6,200,245,15:31.4
199,/auth/login,DELETE,484,32:45.4,32:45.8,200,402,32:45.4
200,/api/v1/products,POST,1016,37:36.4,37:37.4,400,70,37:36.4
201,/auth/reset,PATCH,19381,37:37.4,37:56.7,408,63,37:37.4
202,/api/v1/customers,GET,455,39:42.4,39:42.8,400,2938,39:42.4
203,/api/v1/orders,DELETE,373,42:18.4,42:18.7,400,2150,42:18.4
204,/payments/verify,GET,464,48:11.4,48:11.8,401,2,48:11.4
205,/api/v1/orders,PATCH,147,50:12.4,50:12.5,200,16,50:12.4
206,/user/preferences,PUT,91,53:07.4,57:32.4,201,478,53:07.4
207,/user/settings,GET,498,54:10.4,54:10.8,400,1987,54:10.4
208,/user/settings,GET,387,54:31.4,54:31.7,200,193,54:31.4
209,/user/settings,DELETE,399,55:16.4,55:16.8,404,914,55:16.4
210,/search/quick,POST,277,58:10.4,58:10.6,200,9,58:10.4
211,/api/v1/customers,DELETE,68,04:20.4,04:20.4,400,71,04:20.4
212,/search/quick,PUT,831,05:15.4,05:16.2,503,971,05:15.4
213,/data/sync,PATCH,199,10:07.4,10:07.6,403,12,10:07.4
214,/api/v1/customers,PATCH,53,25:58.4,25:58.4,200,535,25:58.4
215,/user/profile,POST,439,26:14.4,26:14.8,404,975,26:14.4
216,/api/v1/orders,POST,383,28:09.4,28:09.7,201,540,28:09.4
217,/user/settings,DELETE,240,31:46.4,31:46.6,200,68,31:46.4
218,/search/quick,GET,74,36:23.4,39:53.4,401,4198,36:23.4
219,/api/v1/orders,DELETE,355,55:44.4,55:44.7,200,143,55:44.4
220,/api/v1/customers,GET,316,59:26.4,59:26.7,401,14,59:26.4
221,/search/quick,PUT,269,05:10.4,05:10.6,200,4979,05:10.4
222,/admin/dashboard,PATCH,390,13:21.4,13:21.7,500,613,13:21.4
223,/auth/logout,POST,253,17:42.4,17:42.6,200,526,17:42.4
224,/data/fetch,POST,529,38:46.4,38:46.9,200,285,38:46.4
225,/api/v1/orders,POST,451,47:10.4,47:10.8,200,593,47:10.4
226,/auth/login,GET,239,57:35.4,01:48.6,201,875,57:35.4
227,/search/advanced,PUT,416,08:52.4,08:52.8,200,6,08:52.4
228,/api/v1/customers,PATCH,44329,10:19.4,11:03.7,500,4463,10:19.4
229,/api/v1/products,PUT,299,16:15.4,16:15.7,400,41,16:15.4
230,/search/advanced,GET,428,19:38.4,19:38.8,400,2793,19:38.4
231,/data/upload,GET,59,35:01.4,35:01.4,401,492,35:01.4
232,/api/v1/customers,GET,1311,36:12.4,40:10.7,200,534,36:12.4
233,/api/v1/products,POST,114,44:47.4,49:02.5,200,191,44:47.4
234,/admin/logs,PUT,450,55:08.4,55:08.8,500,3658,55:08.4
235,/admin/users,GET,223,55:13.4,55:13.6,500,158,55:13.4
236,/user/profile,PATCH,248,02:01.4,02:01.6,400,759,02:01.4
237,/data/fetch,POST,343,07:03.4,07:03.7,503,321,07:03.4
238,/api/v1/products,DELETE,321,07:51.4,07:51.7,500,36,07:51.4
239,/auth/reset,GET,120,14:55.4,14:55.5,401,9,14:55.4
240,/data/fetch,PATCH,485,17:13.4,17:13.8,200,156,17:13.4
241,/admin/users,DELETE,11633,24:04.4,24:16.0,500,176,24:04.4
242,/payments/verify,POST,391,24:06.4,28:00.7,200,2442,24:06.4
243,/user/profile,DELETE,384,26:31.4,26:31.7,200,3508,26:31.4
244,/data/upload,PATCH,58,29:31.4,29:31.4,401,112,29:31.4
245,/search/advanced,DELETE,397,30:44.4,30:44.7,200,4077,30:44.4
246,/admin/users,DELETE,439,32:28.4,32:28.8,200,114,32:28.4
247,/data/fetch,GET,158,32:41.4,32:41.5,200,2632,32:41.4
248,/user/preferences,DELETE,1176,33:34.4,33:35.5,503,487,33:34.4
249,/data/fetch,DELETE,112,42:19.4,42:19.5,500,37,42:19.4
250,/user/settings,GET,309,43:06.4,43:06.7,403,36,43:06.4
